xres,yres,xthreads,ythreads,render_time,real_time,application_type,run
960,960,2,2,1640,6204,cuda,3
960,960,4,4,424,4990,cuda,3
960,960,8,8,178,4743,cuda,3
960,960,12,12,222,4752,cuda,3
960,960,16,16,180,4731,cuda,3
960,960,20,20,198,4749,cuda,3
960,960,22,22,200,4755,cuda,3
960,960,,,696,719,sequential,3
1120,1120,1,1,8802,13394,cuda,3
1120,1120,2,2,2236,6822,cuda,3
1120,1120,4,4,572,5120,cuda,3
1120,1120,8,8,235,4836,cuda,3
1120,1120,12,12,297,4854,cuda,3
1120,1120,16,16,239,4854,cuda,3
1120,1120,20,20,260,4858,cuda,3
1120,1120,22,22,262,4824,cuda,3
1120,1120,,,960,991,sequential,3
1280,1280,1,1,11494,16112,cuda,3
1280,1280,2,2,2915,7483,cuda,3
1280,1280,4,4,741,5325,cuda,3
1280,1280,8,8,301,4913,cuda,3
1280,1280,12,12,378,4989,cuda,3
1280,1280,16,16,303,4859,cuda,3
1280,1280,20,20,332,4894,cuda,3
1280,1280,22,22,340,4911,cuda,3
1280,1280,,,1241,1282,sequential,3
1440,1440,1,1,14533,19111,cuda,3
1440,1440,2,2,3680,8255,cuda,3
1440,1440,4,4,931,5514,cuda,3
1440,1440,8,8,375,4959,cuda,3
1440,1440,12,12,466,5201,cuda,3
1440,1440,16,16,377,4953,cuda,3
1440,1440,20,20,413,4987,cuda,3
1440,1440,22,22,418,5008,cuda,3
1440,1440,,,1572,1621,sequential,3
2400,2400,1,1,40193,44922,cuda,3
2400,2400,2,2,10131,14862,cuda,3
2400,2400,4,4,2527,7388,cuda,3
2400,2400,8,8,1000,5699,cuda,3
2400,2400,12,12,1253,5938,cuda,3
2400,2400,16,16,995,5762,cuda,3
2400,2400,20,20,1089,5809,cuda,3
2400,2400,22,22,1100,5803,cuda,3
2400,2400,,,4379,4513,sequential,3
4800,4800,1,1,160989,166316,cuda,3
4800,4800,2,2,40461,45763,cuda,3
4800,4800,4,4,10014,15273,cuda,3
4800,4800,8,8,3893,9148,cuda,3
4800,4800,12,12,4899,10228,cuda,3
4800,4800,16,16,3849,9121,cuda,3
4800,4800,20,20,4219,9515,cuda,3
4800,4800,22,22,4230,9557,cuda,3
4800,4800,,,17385,17912,sequential,3
8000,8000,1,1,447757,454371,cuda,3
8000,8000,2,2,112434,119037,cuda,3
8000,8000,4,4,27753,34565,cuda,3
8000,8000,8,8,10717,17345,cuda,3
8000,8000,12,12,13500,20273,cuda,3
8000,8000,16,16,10561,17167,cuda,3
8000,8000,20,20,11561,18168,cuda,3
8000,8000,22,22,11540,18147,cuda,3
8000,8000,,,48124,49764,sequential,3
9600,9600,1,1,642966,650512,cuda,3
9600,9600,2,2,161425,169053,cuda,3
9600,9600,4,4,39825,47359,cuda,3
9600,9600,8,8,15345,23018,cuda,3
9600,9600,12,12,19317,26910,cuda,3
9600,9600,16,16,15125,22936,cuda,3
9600,9600,20,20,16610,24162,cuda,3
9600,9600,22,22,16571,24134,cuda,3
9600,9600,,,69756,72032,sequential,3
11200,11200,1,1,879008,887717,cuda,3
11200,11200,2,2,220369,229003,cuda,3
11200,11200,4,4,54344,62979,cuda,3
11200,11200,8,8,20881,29744,cuda,3
11200,11200,12,12,26213,34865,cuda,3
11200,11200,16,16,20555,29189,cuda,3
11200,11200,20,20,22563,31288,cuda,3
11200,11200,22,22,22490,31136,cuda,3
11200,11200,,,96010,98860,sequential,3
12800,12800,1,1,1141831,1151747,cuda,3
12800,12800,2,2,286568,296525,cuda,3
12800,12800,4,4,70673,80581,cuda,3
12800,12800,8,8,27219,37125,cuda,3
12800,12800,12,12,34171,44076,cuda,3
12800,12800,16,16,26785,36715,cuda,3
12800,12800,20,20,29424,39353,cuda,3
12800,12800,22,22,29277,39192,cuda,3
12800,12800,,,124401,128124,sequential,3
14400,14400,1,1,1448946,1460336,cuda,3
14400,14400,2,2,363540,374935,cuda,3
14400,14400,4,4,89620,101010,cuda,3
14400,14400,8,8,34511,45847,cuda,3
14400,14400,12,12,43359,54682,cuda,3
14400,14400,16,16,33926,45420,cuda,3
14400,14400,20,20,37192,49059,cuda,3
14400,14400,22,22,37065,48380,cuda,3
14400,14400,,,157752,162467,sequential,3
16000,16000,1,1,1785785,1798728,cuda,3
16000,16000,2,2,448110,461183,cuda,3
16000,16000,4,4,110458,123387,cuda,3
16000,16000,8,8,42556,55536,cuda,3
16000,16000,12,12,53454,66376,cuda,3
16000,16000,16,16,41846,54878,cuda,3
16000,16000,20,20,45873,58847,cuda,3
16000,16000,22,22,45701,58605,cuda,3
16000,16000,,,193673,199520,sequential,3
